X,Y,OBJECTID,Building_Code,School_Name,Type,Authorized_Grades,District,Charter_Authorizer,ESP_2013_2014,Street_Address,School_Type,Zip,Alternative_Flag,School_Label,SkillmanArea,SkillmanAreaAlt,TotalStudentsFall2013,SchoolType2,TotalStudentMiles,AvgStudentMiles
-83.076278404998092,42.320905813645638,1,08046,Casa Richard Academy,HS,"9,10,11,12",Casa Richard Academy,Wayne RESA,Dynamic HR,2635 Howard St,Charter,48216,,Casa Richard Academy,Southwest Detroit Neighborhoods,Southwest,65,Charter,404.271066,6.219555
-83.059387651896685,42.338383091211497,2,00554,Cass Technical High School,HS,"9,10,11,12",Detroit City School District,,,2501 2nd Ave,DPS,48201,,Cass Technical High School,,,2334,Detroit City District,20354.768549,8.720981
-83.111486878885898,42.383759439812728,3,00617,Central Collegiate Academy,HS,"9,10,11,12",Education Achievement System-EAS,,,2425 Tuxedo St,EAA,48206,,Central Collegiate Academy,Northend Central,Northend Central,440,EAA,1215.975949,2.763582
-83.114166853047536,42.312128427320459,4,09153,Cesar Chavez High School,HS,"9,10,11,12",Cesar Chavez Academy,Saginaw Valley State University,Leona Group,1761 Waterman St,Charter,48209,,Cesar Chavez High School,Southwest Detroit Neighborhoods,Southwest,725,Charter,1724.258883,2.378288
-83.220817488848823,42.360368064687648,5,00026,Cody Academy of Public Leadership,HS,"9,10,11,12",Detroit City School District,,,18445 Cathedral St,DPS Self-Governing,48228,,Cody Academy of Public Leadership,Cody Rouge,Cody Rouge,441,Detroit City District,1666.09429,3.777992
-83.206050620414317,42.398301475122153,6,07654,Communication and Media Arts HS,HS,"9,10,11,12",Detroit City School District,,,14771 Mansfield St,DPS,48227,,Communication and Media Arts HS,,,661,Detroit City District,2374.009614,3.591543
-83.263273019469366,42.436328261355719,7,01214,Cornerstone Health School,HS,"9,10,11,12",Cornerstone Health School,Grand Valley State University,Cornerstone Charter Schools,19900 Mcintyre St,Charter,48219,,Cornerstone Health School,,,132,Charter,535.251,4.054932
-82.952790980711725,42.370830640823215,8,00029,Davis Aerospace High School,HS,"9,10,11,12",Detroit City School District,,,10200 Erwin St,DPS,48234,,Davis Aerospace High School,,,203,Detroit City District,1366.532356,6.731686
-82.960372271979509,42.424762991864206,9,00902,Denby High School,HS,"9,10,11,12",Education Achievement System-EAS,,,12800 Kelly Rd,EAA,48224,,Denby High School,,,697,EAA,1274.888439,1.829108
-83.247419444783503,42.380180131091514,10,08456,Detroit Community Schools-High School,HS,"9,10,11,12",Detroit Community Schools,Saginaw Valley State University,Self-managed,12675 Burt Rd,Charter,48223,,Detroit Community Schools - High School,Brightmoor,Brightmoor,579,Charter,1882.415059,3.251149
