INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
A & W Healthcare Educators,LA,NULL,NULL,NULL,40
A T Still University of Health Sciences,MO,NULL,NULL,219800,NULL
Aaniiih Nakoda College,MT,NULL,9002,20900,124
Aaron's Academy of Beauty,MD,NULL,NULL,PrivacySuppressed,28
ABC Beauty Academy,TX,NULL,NULL,NULL,30
ABC Beauty College Inc,AR,NULL,NULL,PrivacySuppressed,38
Abcott Institute,MI,NULL,NULL,NULL,136
Abdill Career College Inc,OR,NULL,NULL,PrivacySuppressed,41
Abilene Christian University,TX,0.5047,NULL,40200,3572
Abington Memorial Hospital Dixon School of Nursing,PA,NULL,NULL,63300,224
Abraham Baldwin Agricultural College,GA,0.7726,6953,32000,3244
Academia Serrant Inc,PR,NULL,NULL,13600,355
Academy College,MN,NULL,NULL,38500,119
Academy Di Capelli-School of Cosmetology,CT,NULL,NULL,PrivacySuppressed,27
Academy di Firenze,ID,NULL,NULL,NULL,12
Academy for Careers and Technology,SC,NULL,7350,NULL,39
Academy for Five Element Acupuncture,FL,NULL,NULL,NULL,NULL
Academy for Jewish Religion-California,CA,NULL,NULL,NULL,NULL
Academy for Nursing and Health Occupations,FL,NULL,NULL,32000,424
Academy for Salon Professionals,CA,NULL,NULL,NULL,125
Academy for Salon Professionals,CA,NULL,NULL,NULL,65
Academy of Art University,CA,NULL,NULL,36000,9885
Academy of Career Training,FL,NULL,NULL,NULL,147
Academy of Careers and Technology,WV,NULL,7089,27400,204
Academy of Chinese Culture and Health Sciences,CA,NULL,NULL,NULL,NULL
Academy of Cosmetology,MT,NULL,NULL,PrivacySuppressed,29
Academy of Cosmetology,FL,NULL,NULL,12200,137
Academy of Cosmetology,WI,NULL,NULL,PrivacySuppressed,63
Academy of Cosmetology,WA,NULL,NULL,NULL,3
Academy of Cosmetology and Esthetics NYC,NY,NULL,NULL,NULL,107
Academy of Couture Art,CA,1,NULL,NULL,22
Academy of Esthetics and Cosmetology,CA,NULL,NULL,NULL,36
Academy of Hair Design-Beaumont,TX,NULL,NULL,15400,77
Academy of Hair Design-Grenada,MS,NULL,NULL,14800,55
Academy of Hair Design-Jackson,MS,NULL,NULL,14800,86
Academy of Hair Design-Jasper,TX,NULL,NULL,15600,59
Academy of Hair Design-Las Vegas,NV,NULL,NULL,17200,45
Academy of Hair Design-Lufkin,TX,NULL,NULL,15600,96
Academy of Hair Design-Oklahoma City,OK,NULL,NULL,NULL,38
Academy of Hair Design-Pearl,MS,NULL,NULL,PrivacySuppressed,50
Academy of Hair Design-Salem,OR,NULL,NULL,14800,58
Academy of Hair Design-Springfield,MO,NULL,NULL,NULL,101
Academy of Hair Technology,SC,NULL,NULL,14300,77
Academy of Interactive Entertainment,WA,0.7551,NULL,NULL,77
Academy of Massage and Bodywork,DE,NULL,NULL,NULL,48
Academy of Natural Therapy Inc,CO,NULL,NULL,PrivacySuppressed,54
Academy of Palm Beach,FL,NULL,NULL,16700,66
Academy of Salon and Spa,AR,NULL,NULL,PrivacySuppressed,102
Academy of Salon and Spa -,OK,NULL,NULL,NULL,NULL
Academy of Salon Professionals,MO,NULL,NULL,NULL,25
Academy of Vocal Arts,PA,NULL,NULL,NULL,NULL
Acaydia School of Aesthetics,UT,NULL,NULL,NULL,22
Access Careers,NY,NULL,NULL,NULL,286
Access Careers,NY,NULL,NULL,NULL,38
Ace Computer Training Center,NY,NULL,NULL,NULL,162
Ace Cosmetology and Barber Training Center,CT,NULL,NULL,NULL,14
Acupuncture and Integrative Medicine College-Berkeley,CA,NULL,NULL,PrivacySuppressed,NULL
Acupuncture and Massage College,FL,NULL,NULL,25900,37
Adams State University,CO,0.6529,15868,32800,2110
Adelphi University,NY,0.7242,NULL,51300,5036
Adirondack Beauty School,NY,NULL,NULL,PrivacySuppressed,34
Adirondack Community College,NY,NULL,7765,29700,3535
Adler Graduate School,MN,NULL,NULL,NULL,NULL
Adler University,IL,NULL,NULL,NULL,NULL
Adrian College,MI,0.6189,NULL,37100,1570
Adrian's College of Beauty Turlock,CA,NULL,NULL,10400,133
Adult and Community Education-Hudson,OH,0.8462,12700,33800,109
Adult and Continuing Education-BCTS,NJ,NULL,15517,PrivacySuppressed,90
Advance Beauty College,CA,NULL,NULL,10700,474
Advance Beauty Techs Academy,CA,NULL,NULL,NULL,50
Advance Science Institute,FL,NULL,NULL,PrivacySuppressed,34
Advance Tech College,PR,NULL,NULL,PrivacySuppressed,5
Advanced Barber College and Hair Design,TX,NULL,NULL,13100,242
Advanced Beauty College,TX,NULL,NULL,NULL,58
Advanced Career Institute,CA,NULL,NULL,NULL,253
