name,state,adm_rate,cost,earnings,pop
Abraham Baldwin Agricultural College,GA,0.7726,6953,32000,3244
Adams State University,CO,0.6529,15868,32800,2110
Adult and Community Education-Hudson,OH,0.8462,12700,33800,109
Akron School of Practical Nursing,OH,0.4063,15529,34600,47
Alabama A & M University,AL,0.5256,15229,30300,4206
Alabama State University,AL,0.5326,11110,26600,4811
Albany State University,GA,0.4729,12718,31500,3261
Alcorn State University,MS,0.7844,15112,30400,3006
Angelo State University,TX,0.8244,12717,37700,5290
Appalachian State University,NC,0.6266,14165,36400,16116
Applied Technology Services,MO,0.7143,20565,38200,166
Arizona State University-Tempe,AZ,0.8433,10858,45100,39316
Arkansas State University-Main Campus,AR,0.7239,11752,31700,9139
Arkansas Tech University,AR,0.8626,10205,33800,8845
Armstrong State University,GA,0.6803,14668,38400,6162
Auburn University,AL,0.8347,18644,45700,20514
Auburn University at Montgomery,AL,0.8017,13431,35000,4304
Austin Peay State University,TN,0.8927,11325,34200,9003
Autry Technology Center,OK,0.6533,11918,25200,303
Ball State University,IN,0.5988,15141,38800,15895
Bemidji State University,MN,0.9353,14589,38900,4386
Black Hills State University,SD,0.941,13706,34400,2910
Bloomsburg University of Pennsylvania,PA,0.8781,18226,43900,9109
Bluefield State College,WV,0.3834,8908,28300,1529
Boise State University,ID,0.77,15897,35600,16206
Bowie State University,MD,0.5506,13231,46800,4401
Bowling Green State University-Main Campus,OH,0.5337,17944,38800,13697
Bridgewater State University,MA,0.7931,17781,42300,9500
Butler Tech-D Russel Lee Career Center,OH,0.821,23188,31700,370
California Polytechnic State University-San Luis Obispo,CA,0.3089,18047,61800,19177
California State Polytechnic University-Pomona,CA,0.5187,11085,50700,22269
California State University-Bakersfield,CA,0.706,6297,46500,7524
California State University-Chico,CA,0.7096,13640,44400,15844
California State University-Dominguez Hills,CA,0.4234,2416,42500,12199
California State University-East Bay,CA,0.7031,10340,51200,12275
California State University-Fresno,CA,0.594,6265,43000,20128
California State University-Fullerton,CA,0.4447,7237,45000,32610
California State University-Long Beach,CA,0.3546,9389,46500,31494
California State University-Los Angeles,CA,0.6107,3287,43400,20643
California State University-Monterey Bay,CA,0.6936,9579,40300,5924
California State University-Northridge,CA,0.5286,8918,43100,35409
California State University-Sacramento,CA,0.7265,8953,46100,26400
California State University-San Bernardino,CA,0.8445,6712,44600,16439
California State University-San Marcos,CA,0.618,9736,45400,11506
California State University-Stanislaus,CA,0.7272,6759,43400,7844
California University of Pennsylvania,PA,0.8967,17947,38100,6031
Canton City Schools Adult Career and Technical Education,OH,1,12609,24700,104
Career Center of Southern Illinois,IL,0.5556,13331,37900,82
Carolinas College of Health Sciences,NC,0.1719,14252,47500,483
Castleton University,VT,0.9164,17171,34900,1890
Center for Instruction Technology & Innovation (CiTi),NY,0.65,13830,31500,95
Central Connecticut State University,CT,0.6044,15643,44300,9600
Central Michigan University,MI,0.6927,15558,39800,20297
Central State University,OH,0.3772,11662,24300,1728
Central Susquehanna Intermediate Unit LPN Career,PA,0.5294,14364,36800,92
Central Washington University,WA,0.8646,14182,44500,9751
Chester County Intermediate Unit,PA,0.75,18631,41500,125
Chicago State University,IL,0.2996,11125,33000,3874
Christopher Newport University,VA,0.5588,21532,42500,5084
Citadel Military College of South Carolina,SC,0.7554,17685,51900,2688
Clarion County Career Center Practical Nursing Program,PA,1,13663,33300,58
Clarion University of Pennsylvania,PA,0.9271,17136,36800,4744
Clayton  State University,GA,0.4245,11519,37000,6064
Clemson University,SC,0.5152,16306,50800,17083
Cleveland State Community College,TN,1,4688,27600,2734
Cleveland State University,OH,0.8421,16558,38600,11308
Coastal Carolina University,SC,0.636,14361,36300,9058
Colegio Universitario de San Juan,PR,0.9187,1132,22700,1405
College of Charleston,SC,0.7802,16838,40500,10069
College of Coastal Georgia,GA,0.9235,11034,28500,2833
College of Micronesia-FSM,FM,0.9378,5664,15700,2344
College of Staten Island CUNY,NY,0.9427,9711,40600,12944
College of William and Mary,VA,0.3302,17194,55000,6256
Colorado Mesa University,CO,0.8227,15874,34600,8413
Colorado School of Mines,CO,0.3647,25777,75700,4383
Colorado State University-Fort Collins,CO,0.8048,16526,44500,22373
Colorado State University-Pueblo,CO,0.9278,12973,35500,4227
Columbia Area Career Center,MO,0.9474,15766,31000,55
Columbus State University,GA,0.5522,11129,35000,6715
Concord University,WV,0.3776,7478,32100,2234
Coppin State University,MD,0.4312,9363,35700,2652
CUNY Bernard M Baruch College,NY,0.279,6841,54900,14420
CUNY Brooklyn College,NY,0.3533,6399,44500,12925
CUNY City College,NY,0.3806,5917,45800,12175
CUNY Hunter College,NY,0.3467,7240,45000,15778
CUNY John Jay College of Criminal Justice,NY,0.3731,5604,42400,12758
CUNY Lehman College,NY,0.2891,2374,40400,9417
CUNY Medgar Evers College,NY,0.9194,8590,35000,6241
CUNY New York City College of Technology,NY,0.7278,6941,37500,16354
CUNY Queens College,NY,0.3982,5998,47500,14842
CUNY York College,NY,0.3713,5630,38700,7245
Dakota State University,SD,0.842,15044,37300,1770
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,NY,0.6667,10724,32600,27
Delaware County Technical School-Practical Nursing Program,PA,1,10537,47400,41
Delaware State University,DE,0.4374,15655,33600,3654
Delta State University,MS,0.9234,15335,34100,2778
Dickinson State University,ND,0.6103,10703,38800,1231
Dutchess BOCES-Practical Nursing Program,NY,0.4918,18331,36500,155
East Carolina University,NC,0.7728,14981,39000,21207
East Central University,OK,0.9719,6100,34500,3636
East Stroudsburg University of Pennsylvania,PA,0.8146,17598,43000,6125
East Tennessee State University,TN,0.9174,14800,34800,11162
Eastern Center for Arts and Technology,PA,0.6154,14788,50100,106
Eastern Connecticut State University,CT,0.631,18450,43400,4793
Eastern Illinois University,IL,0.4976,17127,39900,7525
Eastern Kentucky University,KY,0.7387,10686,34100,13323
Eastern Michigan University,MI,0.6887,12955,37100,17723
Eastern New Mexico University-Main Campus,NM,0.6306,10090,29300,3731
Eastern Oregon University,OR,0.6418,15551,37200,2997
Eastern Suffolk BOCES,NY,0.9596,15061,46400,346
Eastern Washington University,WA,0.7439,12619,41000,12402
Edinboro University of Pennsylvania,PA,0.993,15053,34400,5494
Elizabeth City State University,NC,0.49,2509,29500,1763
Emporia State University,KS,0.7649,13970,35700,3777
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,0.9273,1869,17200,555
Fairmont State University,WV,0.6651,8756,33400,3699
Farmingdale State College,NY,0.4665,9516,46600,7768
Fashion Institute of Technology,NY,0.4428,12442,45200,8260
Fayetteville State University,NC,0.5032,6794,30500,4862
Ferris State University,MI,0.7842,13230,41500,12632
Fitchburg State University,MA,0.7231,13737,40500,4134
Florida Agricultural and Mechanical University,FL,0.4895,12327,35400,7995
