date,UCB,UCD,UCI,UCLA,UCR,UCSD,UCSB,UCSC
1997,11000,9625,10482.5,10750,10500,11000,9747,9055
1998,11000,9225,10849,10910,11000,11000,10500,9019.5
1999,11000,8500,10797,10173,10681.5,10802.5,10804,8854
2000,10676,7635,10461,9218,9750,10500,11000,8802
2001,10500,7000,9959,9166,9536,10955.5,11000,8492
2002,10500,7222.5,10007,9524,9605.5,10956,11000,8782
2003,11000,7872.5,10226,10000,9503.5,10802,11000,9497
2004,11000,8406,10505,10619,10109.5,11000,11000,10226.5
2005,11000,8750,11000,10640,10834,11418,11000,10607.5
2006,11000,8825,10968,10500,10633,11625,11000,10951
2007,11000,8137.5,10500,10633,10500,11789,11000,11000
2008,11000,8538.5,10834,11000,10576,12500,11000,11000
2009,12312.5,10000,11633.5,11523,11168,13394.5,11694,11625
2010,13454,11000,13000,12498,12500,15000,13000,13625
2011,13717,11831,14117,13104,14005,15219.5,13734,15000
2012,13652.5,12713,14833,14250,15105,16090,14446.5,15000
2013,13600,12833,15000,14598.5,16110,17000,13500,15000
2014,13597,12999,15000,15000,17000,17382.5,14500,16500
2015,13597,12999,15000,15000,17000,17382.5,14500,16500
