UCB,UCD,UCI,UCLA,UCR,UCSD,UCSB,UCSC
0,0.0492,0,0,0,0,0,0.0045
0.0451,0.0284,0.0032,0.0095,0.0142,0.0168,0.0474,0.06
0.0206,0.0136,0.0002,0.0023,0,0,0,0
0.0287,0.0111,0.0108,0.0393,0.0179,0.0093,0.0253,0.0305
0.0256,0.0312,0.007,0,0,0.0465,0.0673,0
0,0,0,0,0,0,0,0
0.0252,0.0182,0.032,0.0184,0.0146,0.0382,0.0189,0.0454
0,0,0,0,0,0,0,0
0,0.0003,0.001,0,0,0.001,0,0
0.1313,0.0968,0.1057,0.0802,0.0734,0.1304,0.0437,0.0271
0,0,0,0,0,0,0,0
0.0237,0.0223,0.0112,0.0356,0.0205,0.0094,0.03,0.0704
0,0.0386,0,0,0,0.022,0,0
0.0167,0,0,0,0,0,0.001,0.0194
0.0516,0.0245,0.0253,0.0497,0.0428,0.012,0.0386,0
0,0,0.0002,0,0.0144,0,0.0008,0
0,0,0,0,0,0,0,0
0.1187,0.2114,0.1359,0.1551,0.1584,0.1789,0.0912,0.1768
0.0427,0.0136,0.0137,0.0536,0.0221,0.0239,0.0273,0.0135
0,0,0,0,0,0,0,0
0.0557,0.0242,0.0492,0.0393,0.0085,0.0818,0.0647,0.0175
0,0,0,0,0,0,0,0
0.0099,0.0087,0.0048,0.0231,0.016,0.0049,0.023,0.0149
0,0,0,0,0,0,0,0
0.033,0.0197,0.0312,0.0235,0.0234,0.0626,0.0281,0.042
0,0,0,0,0,0,0,0
0.0371,0.106,0.1231,0.1042,0.0924,0.0844,0.1242,0.1237
0,0,0,0,0,0,0,0
0.0118,0,0,0,0.0092,0,0,0.0048
0.2093,0.1657,0.1804,0.2319,0.208,0.1924,0.2579,0.1479
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.0305,0.0364,0.0624,0.0537,0.0627,0.0314,0.0712,0.0882
0.0206,0.0123,0.0994,0.007,0,0,0,0
0.0439,0.0498,0.0922,0.0271,0.167,0.042,0.0096,0.0759
0.0184,0.018,0.0112,0.0465,0.0343,0.012,0.0298,0.0374
