name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
Abilene Christian University,Abilene,TX,0.5047,0.0138,0.0063,0.0013,0,0.0752,0,0.0251,0,0.0777,0,0,0,0.0388,0,0.0251,0,0,0.0614,0.0025,0,0.0677,0.0489,0,0.0351,0.0075,0,0.0627,0.0226,0.0188,0.0201,0,0,0,0,0.0664,0.089,0.2256,0.0088,3572,25985,40200
Abraham Baldwin Agricultural College,Tifton,GA,0.7726,0.1538,0.0717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4773,0,0.0157,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0,0,0,0.0052,0.2675,0,0,3244,15085.5,32000
Adams State University,Alamosa,CO,0.6529,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0.0194,0.4052,0,0.0216,0.0151,0,0,0.0797,0,0,0.0302,0,0.0603,0,0,0.0948,0,0,0,0,0.0539,0.0388,0.1789,0,2110,16255,32800
Adelphi University,Garden City,NY,0.7242,0,0.0082,0,0,0.0387,0,0.0124,0,0.0502,0,0,0.0025,0,0,0.0346,0.0231,0,0.0404,0.0115,0,0.0132,0.0412,0.0008,0,0.0115,0,0.0741,0.0247,0.0486,0.0692,0,0,0,0,0.061,0.2735,0.1483,0.0124,5036,25000,51300
Adrian College,Adrian,MI,0.6189,0,0.0032,0,0.0032,0.0603,0,0,0,0.073,0,0,0.0159,0,0,0.0413,0,0,0.1016,0.0095,0,0,0.1048,0.0095,0,0.019,0,0.0381,0.0603,0.0222,0.0444,0,0,0,0,0.1206,0.0413,0.2095,0.0222,1570,27000,37100
Adult and Community Education-Hudson,Columbus,OH,0.8462,0,0,0,0,0,0,0,0,0,0,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9302,0,0,109,13000,33800
Advanced Technology Institute,Virginia Beach,VA,0.9045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0.1165,0.2745,0,0,0,0,717,16279,38000
Adventist University of Health Sciences,Orlando,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9575,0,0,1870,22702,50100
Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,0.6567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,139,12000,30100
Agnes Scott College,Decatur,GA,0.6772,0,0,0,0.028,0,0,0,0,0,0,0,0.0374,0,0,0.1168,0,0,0.1589,0.0654,0,0.0093,0,0.0187,0,0.0234,0,0.1542,0,0,0.2103,0,0,0,0,0.0561,0.0374,0,0.0841,802,27000,38800
